ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma de venda,Regiao
22735,2024-01-01,São Paulo,Cabo HDMI,40.0,1,Cliente_14772,40.0,Presencial,Sudeste
31751,2024-01-01,Curitiba,Cabo HDMI,40.0,1,Cliente_16439,40.0,Presencial,Sul
36481,2024-01-01,Salvador,Cabo HDMI,40.0,1,Cliente_4025,40.0,Presencial,Nordeste
44184,2024-01-01,Curitiba,Cabo HDMI,40.0,1,Cliente_1577,40.0,Presencial,Sul
44259,2024-01-01,Porto Alegre,Cabo HDMI,40.0,1,Cliente_1944,40.0,Presencial,Sul
46104,2024-01-01,Curitiba,Cabo HDMI,40.0,1,Cliente_29811,40.0,Presencial,Sul
48353,2024-01-01,Salvador,Cabo HDMI,40.0,1,Cliente_10578,40.0,Presencial,Nordeste
51514,2024-01-01,Rio De Janeiro,Cabo HDMI,40.0,1,Cliente_14396,40.0,Presencial,Sudeste
54222,2024-01-01,Porto Alegre,Cabo HDMI,40.0,1,Cliente_2708,40.0,Presencial,Sul
57690,2024-01-01,Curitiba,Cabo HDMI,40.0,1,Cliente_29509,40.0,Presencial,Sul
65074,2024-01-01,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_9100,40.0,Presencial,Sudeste
71713,2024-01-01,Curitiba,Cabo HDMI,40.0,1,Cliente_13545,40.0,Presencial,Sul
75426,2024-01-01,Recife,Cabo HDMI,40.0,1,Cliente_9078,40.0,Online,Nordeste
80685,2024-01-01,Salvador,Cabo HDMI,40.0,1,Cliente_27122,40.0,Presencial,Nordeste
83656,2024-01-01,Salvador,Cabo HDMI,40.0,1,Cliente_15422,40.0,Presencial,Nordeste
85554,2024-01-01,Belo Horizonte,Cabo HDMI,40.0,1,Cliente_29280,40.0,Presencial,Sudeste
88442,2024-01-01,Recife,Cabo HDMI,40.0,1,Cliente_2801,40.0,Online,Nordeste
96813,2024-01-01,Recife,Cabo HDMI,40.0,1,Cliente_24891,40.0,Online,Nordeste
4081,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_3558,120.0,Presencial,Sul
16633,2024-01-01,Salvador,Mouse Gamer,120.0,1,Cliente_10632,120.0,Presencial,Nordeste
34237,2024-01-01,Curitiba,Mouse Gamer,120.0,1,Cliente_3466,120.0,Presencial,Sul
34259,2024-01-01,Belo Horizonte,Mouse Gamer,120.0,1,Cliente_14552,120.0,Presencial,Sudeste
34507,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_6951,120.0,Presencial,Sul
57417,2024-01-01,Curitiba,Mouse Gamer,120.0,1,Cliente_22660,120.0,Presencial,Sul
63068,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_3416,120.0,Presencial,Sul
63998,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_21477,120.0,Presencial,Sul
64503,2024-01-01,Rio De Janeiro,Mouse Gamer,120.0,1,Cliente_462,120.0,Presencial,Sudeste
73127,2024-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_4771,120.0,Presencial,Sudeste
76519,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_16354,120.0,Presencial,Sul
76966,2024-01-01,São Paulo,Cabo HDMI,40.0,3,Cliente_6580,120.0,Presencial,Sudeste
85266,2024-01-01,Belo Horizonte,Cabo HDMI,40.0,3,Cliente_12732,120.0,Presencial,Sudeste
87723,2024-01-01,Rio De Janeiro,Mouse Gamer,120.0,1,Cliente_2761,120.0,Presencial,Sudeste
95442,2024-01-01,Porto Alegre,Mouse Gamer,120.0,1,Cliente_20955,120.0,Presencial,Sul
9381,2024-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_23789,250.0,Presencial,Sudeste
10605,2024-01-01,Curitiba,Teclado Mecânico,250.0,1,Cliente_19475,250.0,Presencial,Sul
15181,2024-01-01,Recife,Teclado Mecânico,250.0,1,Cliente_7749,250.0,Online,Nordeste
45086,2024-01-01,Rio De Janeiro,Teclado Mecânico,250.0,1,Cliente_2279,250.0,Presencial,Sudeste
63204,2024-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_7596,250.0,Presencial,Sudeste
65229,2024-01-01,Salvador,Teclado Mecânico,250.0,1,Cliente_11376,250.0,Presencial,Nordeste
67923,2024-01-01,Recife,Teclado Mecânico,250.0,1,Cliente_7179,250.0,Online,Nordeste
69243,2024-01-01,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_15377,250.0,Presencial,Sudeste
74891,2024-01-01,Recife,Teclado Mecânico,250.0,1,Cliente_29342,250.0,Online,Nordeste
92125,2024-01-01,Belo Horizonte,Teclado Mecânico,250.0,1,Cliente_18909,250.0,Presencial,Sudeste
55297,2024-01-01,Curitiba,Mouse Gamer,120.0,3,Cliente_28080,360.0,Presencial,Sul
36325,2024-01-01,Curitiba,Teclado Mecânico,250.0,2,Cliente_23138,500.0,Presencial,Sul
39390,2024-01-01,Salvador,Teclado Mecânico,250.0,2,Cliente_29140,500.0,Presencial,Nordeste
19717,2024-01-01,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_25604,1200.0,Presencial,Sudeste
41482,2024-01-01,Recife,"Monitor 27""",1200.0,1,Cliente_19110,1200.0,Online,Nordeste
43105,2024-01-01,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_3307,1200.0,Presencial,Sudeste
45934,2024-01-01,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_15137,1200.0,Presencial,Sul
59082,2024-01-01,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_9546,1200.0,Presencial,Sul
68529,2024-01-01,Curitiba,"Monitor 27""",1200.0,1,Cliente_19019,1200.0,Presencial,Sul
71468,2024-01-01,Porto Alegre,"Monitor 27""",1200.0,1,Cliente_9129,1200.0,Presencial,Sul
79462,2024-01-01,Curitiba,"Monitor 27""",1200.0,1,Cliente_20284,1200.0,Presencial,Sul
86878,2024-01-01,Salvador,"Monitor 27""",1200.0,1,Cliente_21318,1200.0,Presencial,Nordeste
88699,2024-01-01,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_16957,1200.0,Presencial,Sudeste
89797,2024-01-01,Belo Horizonte,"Monitor 27""",1200.0,1,Cliente_29148,1200.0,Presencial,Sudeste
47100,2024-01-01,Curitiba,Teclado Mecânico,250.0,5,Cliente_256,1250.0,Presencial,Sul
4276,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_12744,2200.0,Presencial,Sul
4762,2024-01-01,São Paulo,Smartphone Samsung,2200.0,1,Cliente_20682,2200.0,Presencial,Sudeste
10819,2024-01-01,Recife,Smartphone Samsung,2200.0,1,Cliente_10439,2200.0,Online,Nordeste
32270,2024-01-01,Recife,Smartphone Samsung,2200.0,1,Cliente_2000,2200.0,Online,Nordeste
38696,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_9315,2200.0,Presencial,Sul
45911,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_1666,2200.0,Presencial,Sul
55930,2024-01-01,Recife,Smartphone Samsung,2200.0,1,Cliente_5843,2200.0,Online,Nordeste
79820,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_23119,2200.0,Presencial,Sul
82110,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,1,Cliente_15781,2200.0,Presencial,Sul
91463,2024-01-01,Curitiba,Smartphone Samsung,2200.0,1,Cliente_11242,2200.0,Presencial,Sul
3357,2024-01-01,Porto Alegre,Notebook HP,3200.0,1,Cliente_21270,3200.0,Presencial,Sul
5370,2024-01-01,Belo Horizonte,Notebook HP,3200.0,1,Cliente_13552,3200.0,Presencial,Sudeste
16592,2024-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_20650,3200.0,Presencial,Sudeste
51672,2024-01-01,Porto Alegre,Notebook HP,3200.0,1,Cliente_16437,3200.0,Presencial,Sul
64320,2024-01-01,Rio De Janeiro,Notebook HP,3200.0,1,Cliente_11352,3200.0,Presencial,Sudeste
77519,2024-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_915,3200.0,Presencial,Sudeste
96784,2024-01-01,Rio De Janeiro,Notebook HP,3200.0,1,Cliente_14331,3200.0,Presencial,Sudeste
19322,2024-01-01,Curitiba,Notebook Dell,3500.0,1,Cliente_4856,3500.0,Presencial,Sul
36670,2024-01-01,Belo Horizonte,Notebook Dell,3500.0,1,Cliente_24567,3500.0,Presencial,Sudeste
49372,2024-01-01,Porto Alegre,Notebook Dell,3500.0,1,Cliente_13653,3500.0,Presencial,Sul
58186,2024-01-01,Porto Alegre,Notebook Dell,3500.0,1,Cliente_16021,3500.0,Presencial,Sul
72740,2024-01-01,Rio De Janeiro,Notebook Dell,3500.0,1,Cliente_25865,3500.0,Presencial,Sudeste
98399,2024-01-01,Curitiba,Notebook Dell,3500.0,1,Cliente_2701,3500.0,Presencial,Sul
40652,2024-01-01,Porto Alegre,Smartphone Samsung,2200.0,2,Cliente_29943,4400.0,Presencial,Sul
11966,2024-01-01,Rio De Janeiro,iPhone 14,5500.0,1,Cliente_638,5500.0,Presencial,Sudeste
14446,2024-01-01,Belo Horizonte,iPhone 14,5500.0,1,Cliente_18899,5500.0,Presencial,Sudeste
23446,2024-01-01,Salvador,iPhone 14,5500.0,1,Cliente_4479,5500.0,Presencial,Nordeste
40128,2024-01-01,Belo Horizonte,iPhone 14,5500.0,1,Cliente_17644,5500.0,Presencial,Sudeste
